MachineID	Temperature	Vibration	Pressure
Machine1	80.5	45.2	110
Machine2	65.2	30.1	90
Machine3	85.0	60.5	120
Machine4	60.0	40.0	80
Machine5	78.3	52.3	105
Machine6	90.0	48.7	115
Machine7	82.1	51.2	100
Machine8	75.0	41.5	95
Machine9	92.3	63.0	125
Machine10	60.5	38.0	85
Machine11	88.6	47.9	108
Machine12	70.2	44.1	98
Machine13	95.0	55.0	120
Machine14	68.5	42.3	110
Machine15	80.0	49.6	105
Machine16	72.1	36.7	90
Machine17	87.5	58.9	130
Machine18	65.5	39.0	95
Machine19	91.8	64.0	123
Machine20	77.4	50.3	110